,model,gene_id,locus,alleles,markerID,annotation,n_cases,n_controls,heritability,trait_type,phenocode,pheno_sex,coding,n_cases_defined,n_cases_both_sexes,n_cases_females,n_cases_males,description,description_more,coding_description,category,AC,AF,BETA,SE,AF.Cases,AF.Controls,Pvalue,AC_calstat,AF_calstat
10,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,14153,21971.0,0.014973,2,20417,1,,17200,17614,12332,4868,"Tense, sore, or aching muscles during worst period of anxiety","Question asked: ""When you were worried or anxious, were you also: Having tense, sore, or aching muscles?""  Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.",,99.0,1,1.3842e-05,2.5623,2.0381,3.5328e-05,0.0,0.20869,5.0,6.331919204710948e-06
11,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,2205,125502.0,0.023525,2,20463,1,,2711,2777,1616,1095,Ever heard an un-real voice,"Question asked: ""Did you ever hear things that other people said did not exist, like strange voices coming from inside your head talking to you or about you, or voices coming out of the air when there was no one around?""",,59.0,2,7.8306e-06,-1.0198,5.3989,0.0,7.968e-06,0.85018,5.0,6.331919204710948e-06
12,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,999,127004.0,0.049664,2,20468,1,,1229,1262,583,646,Ever believed in an un-real conspiracy against self,"Question asked: ""Did you ever believe that there was an unjust plot going on to harm you or to have people follow you, and which your family and friends did not believe existed?""",,59.0,2,7.8125e-06,-1.0079,9.2222,0.0,7.8738e-06,0.91298,5.0,6.331919204710948e-06
13,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,4082,122857.0,0.019372,2,20471,1,,4915,5031,3111,1804,Ever seen an un-real vision,"Question asked: ""Did you ever see something that wasn't really there that other people could not see?""",,59.0,2,7.878e-06,-1.0424,3.6985,0.0,8.1395e-06,0.77807,5.0,6.331919204710948e-06
14,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,880,127054.0,0.0,2,20474,1,,1105,1138,611,494,Ever believed in un-real communications or signs,"Question asked: ""Did you ever believe that a strange force was trying to communicate directly with you by sending special signs or signals that you could understand but that no one else could understand (for example through the radio or television)?""",,59.0,2,7.8167e-06,-1.0076,8.4632,0.0,7.8707e-06,0.90523,5.0,6.331919204710948e-06
15,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,5495,122440.0,0.01102,2,20480,1,,6708,6872,4651,2057,Ever self-harmed,"Question asked: ""Have you deliberately harmed yourself, whether or not you meant to end your life?""",,54.0,2,7.8167e-06,-1.0522,3.4136,0.0,8.1673e-06,0.75791,5.0,6.331919204710948e-06
16,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,50031,77843.0,0.0,2,20499,1,,60113,61474,40082,20031,Ever sought or received professional help for mental distress,"Question asked: ""In your life, did you seek or receive help from a professional (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional) for mental distress, psychological problems or unusual experiences?""",,90.0,2,7.8204e-06,-1.8262,1.42,0.0,1.2846e-05,0.19842,5.0,6.331919204710948e-06
17,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,42172,84460.0,0.0,2,20500,1,,50634,51799,33347,17287,Ever suffered mental distress preventing usual activities,"Question asked: ""In your life, have you suffered from a period of mental distress that prevented you from doing your usual activities?""",,90.0,2,7.8971e-06,-1.6356,1.4684,0.0,1.184e-05,0.26533,5.0,6.331919204710948e-06
18,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,5284,120090.0,0.019821,2,20501,1,,6580,6744,3214,3366,Ever had period of mania / excitability,"Question asked: ""Have you ever had a period of time when you were feeling so good, ""high"", ""excited"", or ""hyper"" that other people thought you were not your normal self or you were so ""hyper"" that you got into trouble?""",,7.0,2,7.9763e-06,-1.023,4.0417,0.0,8.3271e-06,0.80019,5.0,6.331919204710948e-06
19,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,32412,91942.0,0.010878,2,20502,1,,39453,40294,22946,16507,Ever had period extreme irritability,"Question asked: ""Have you ever had a period of time when you were so irritable that you found yourself shouting at people or starting fights or arguments?""",,7.0,2,8.0418e-06,-1.3273,1.6116,0.0,1.0876e-05,0.41019,5.0,6.331919204710948e-06
20,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,10225,39517.0,0.0,2,20534,1,,12407,12693,8460,3947,Sleeping too much,"Question asked: ""Was that: [re sleep change] Sleeping too much""  Question was asked when ~F20532~ was Yes.",,61.0,1,1.0052e-05,-1.174,2.8228,0.0,1.2653e-05,0.67748,5.0,6.331919204710948e-06
21,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,37707,12035.0,0.0,2,20535,1,,45133,46178,30184,14949,Waking too early,"Question asked: ""Was that: [re sleep change] Waking too early""  Question was asked when ~F20532~ was Yes.",,61.0,1,1.0052e-05,1.279,2.4272,1.326e-05,0.0,0.59821,5.0,6.331919204710948e-06
22,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,24963,36683.0,0.011735,2,20536,1,0,29789,30439,15479,14310,Weight change during worst episode of depression,"Question asked: ""Did you gain or lose weight without trying, or did you stay about the same weight?""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.",Stayed about the same or was on a diet,61.0,1,8.111e-06,-1.5641,2.0989,0.0,1.363e-05,0.45614,5.0,6.331919204710948e-06
23,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,1584,126349.0,0.050368,2,20544,1,1,1910,1962,1030,880,Mental health problems ever diagnosed by a professional,"Question asked: ""Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):"" Participant was offered a set of options which have been combined here into a single answer",Social anxiety or social phobia,90.0,2,7.8168e-06,-1.0138,6.7605,0.0,7.9146e-06,0.88079,5.0,6.331919204710948e-06
24,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,4453,123523.0,0.018778,2,20546,1,1,5380,5504,3966,1414,Substances taken for depression,"Question asked: ""Did you ever try the following for these problems? (tick all that apply)""  Participant was offered a set of options which have been combined here into a single answer  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.",Unprescribed medication (more than once),61.0,2,7.8141e-06,-1.0403,3.4972,0.0,8.0957e-06,0.76611,5.0,6.331919204710948e-06
25,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,135495,256629.0,0.0,2,2090,1,,164512,169468,107375,57137,"Seen doctor (GP) for nerves, anxiety, tension or depression","ACE touchscreen question ""Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?""",,47.0,4,5.1006e-06,-0.43786,1.0779,3.6902e-06,5.845e-06,0.68459,5.0,6.331919204710948e-06
26,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,44916,348150.0,0.013467,2,2100,1,,55855,57668,32852,23003,"Seen a psychiatrist for nerves, anxiety, tension or depression","ACE touchscreen question ""Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?""",,47.0,5,6.3605e-06,-1.0999,1.428,0.0,7.1808e-06,0.44113,5.0,6.331919204710948e-06
27,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,22541,77336.0,0.026785,2,22126,1,,27139,27704,15565,11574,Doctor diagnosed hayfever or allergic rhinitis,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""hayfever or allergic rhinitis"" was one of the options listed.",,55.0,3,1.5019e-05,0.69978,1.3683,2.2182e-05,1.2931e-05,0.60905,5.0,6.331919204710948e-06
28,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,12644,87233.0,0.042421,2,22127,1,,15165,15492,8775,6390,Doctor diagnosed asthma,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""asthma"" was one of the options listed.",,55.0,3,1.5019e-05,1.7469,1.7035,3.9544e-05,1.1464e-05,0.30511,5.0,6.331919204710948e-06
29,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,302,99575.0,0.0,2,22128,1,,360,365,145,215,Doctor diagnosed emphysema,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""emphysema"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0062,9.0215,0.0,1.5064e-05,0.91119,5.0,6.331919204710948e-06
30,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,1141,98736.0,0.0,2,22129,1,,1347,1383,764,583,Doctor diagnosed chronic bronchitis,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""chronic bronchitis"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0145,4.9217,0.0,1.5192e-05,0.83669,5.0,6.331919204710948e-06
31,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,1460,98417.0,0.081331,2,22130,1,,1730,1768,730,1000,Doctor diagnosed COPD (chronic obstructive pulmonary disease),"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""COPD (Chronic Obstructive Pulmonary Disease)"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0281,3.9347,0.0,1.5241e-05,0.79388,5.0,6.331919204710948e-06
32,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,431,99446.0,0.12829,2,22133,1,,515,529,280,235,Doctor diagnosed sarcoidosis,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""sarcoidosis"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0018,8.5529,0.0,1.5084e-05,0.90675,5.0,6.331919204710948e-06
33,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,887,98990.0,0.12636,2,22134,1,,1040,1073,604,436,Doctor diagnosed bronchiectasis,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""bronchiectasis"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0196,5.3172,0.0,1.5153e-05,0.84793,5.0,6.331919204710948e-06
34,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,523,99354.0,0.0,2,22137,1,,648,654,353,295,Doctor diagnosed tuberculosis,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""tuberculosis"" was one of the options listed.",,55.0,3,1.5019e-05,-1.0109,6.1473,0.0,1.5098e-05,0.86938,5.0,6.331919204710948e-06
35,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,81079,306470.0,0.018179,2,2316,1,,100220,103293,51278,48942,Wheeze or whistling in the chest in last year,"ACE touchscreen question ""In the last year have you ever had wheeze or whistling in the chest?""",,43.0,5,6.4511e-06,2.023,0.98804,1.85e-05,3.263e-06,0.040611,5.0,6.331919204710948e-06
36,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,61674,329192.0,0.012526,2,2335,1,,78531,81022,38596,39935,Chest pain or discomfort,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?""",,84.0,5,6.3963e-06,0.24817,1.1614,8.1071e-06,6.0755e-06,0.83079,5.0,6.331919204710948e-06
37,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,18980,374778.0,0.065177,2,2443,1,,25517,26402,9999,15518,Diabetes diagnosed by doctor,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit.     ",,106.0,5,6.3493e-06,-1.021,1.8851,0.0,6.6706e-06,0.58808,5.0,6.331919204710948e-06
38,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,30948,362566.0,0.0,2,2453,1,,37162,38618,23629,13533,Cancer diagnosed by doctor,"ACE touchscreen question ""Has a doctor ever told you that you have had cancer?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had cancer, select Do not know and you will be asked about this by an interviewer later during this visit.     ",,106.0,5,6.3533e-06,-1.1069,1.5925,0.0,6.8953e-06,0.48701,5.0,6.331919204710948e-06
39,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,37911,354806.0,0.011268,2,2463,1,,46086,47466,27041,19045,Fractured/broken bones in last 5 years,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?""",,106.0,5,6.3662e-06,-1.0901,1.5544,0.0,7.0461e-06,0.48311,5.0,6.331919204710948e-06
40,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,84044,128935.0,0.011917,2,2814,1,,100755,103920,100654,101,Ever used hormone-replacement therapy (HRT),"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?""",,94.0,2,4.6955e-06,0.24258,1.454,5.9493e-06,3.8779e-06,0.8675,5.0,6.331919204710948e-06
41,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,17297,193315.0,0.019616,2,2834,1,,21059,21796,21039,20,Bilateral oophorectomy (both ovaries removed),"ACE touchscreen question ""Have you had BOTH ovaries removed?"" If the participant activated the Help button they were shown the message:     Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know.     ",,94.0,2,4.7483e-06,4.6747,2.4041,2.8907e-05,2.5865e-06,0.051834,5.0,6.331919204710948e-06
42,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,1246,393239.0,0.030251,2,3079,1,,1518,1571,518,1000,Pace-maker,Participants asked by interviewer if they have a pace-maker before the body impedance measures. Impedance measurement was not performed if they had a pace-maker.,,35.0,5,6.3376e-06,-1.0037,6.2641,0.0,6.3575e-06,0.87271,5.0,6.331919204710948e-06
43,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,218,394623.0,0.12573,2,41200,1,A411,264,271,71,193,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",A41.1 Evacuation of subdural haematoma,39.0,5,6.3319e-06,-0.998,18.538,0.0,6.3352e-06,0.95707,5.0,6.331919204710948e-06
44,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,191,394650.0,0.0,2,41210,1,A521,262,277,175,87,Operative procedures - secondary OPCS4,"This field is a summary of the secondary operation and procedure codes a participant has had recorded in their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  This field has no corresponding date field. If you are interested in operation and procedure codes (OPCS-4) recorded as either a main or secondary procedure please see ~F41272~, and its corresponding date ~F41282~.  In order to conduct detailed analyses of the data using the source information, researchers will need to gain access to the HESIN_OPER and HESIN tables by adding ~F41149~ and ~F41259~ to their basket.",A52.1 Therapeutic lumbar epidural injection,39.0,5,6.3319e-06,-1.0005,21.337,0.0,6.3347e-06,0.9626,5.0,6.331919204710948e-06
45,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,13615,115513.0,0.025657,2,4717,1,,18714,19486,11485,7229,Shortness of breath walking on level ground,"ACE touchscreen question ""Do you get short of breath walking with people of your own age on level ground?""",,43.0,1,3.8722e-06,-1.1187,3.214,0.0,4.3285e-06,0.72778,5.0,6.331919204710948e-06
46,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,28764,101328.0,0.014387,2,4728,1,,38355,39753,21003,17352,Leg pain on walking,"ACE touchscreen question ""Do you get a pain in either leg on walking?""",,16.0,1,3.8435e-06,-1.3395,2.2498,0.0,4.9345e-06,0.55157,5.0,6.331919204710948e-06
47,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,1602,128302.0,0.042701,2,4924,1,,2815,2944,1469,1346,Attempted fluid intelligence (FI) test.,"ACE touchscreen question ""In this next game you will have two minutes to do as many puzzle questions as possible. Don't spend too long on any one puzzle - you can skip any puzzle if you wish."". Participants were offered the chance to skip the Fluid Intelligence test at this point.",,13.0,1,3.8491e-06,-1.0294,6.4538,0.0,3.8971e-06,0.87327,5.0,6.331919204710948e-06
48,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,2469,125918.0,0.095658,2,6148,1,1,3576,3707,1289,2287,Eye problems/disorders,"ACE touchscreen question ""Has a doctor told you that you have any of the following problems with your eyes? (You can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If you are not sure if you have had any of the listed eye problems enter Do not know.     ",Diabetes related eye disease,17.0,1,3.8946e-06,-1.0233,7.6855,0.0,3.9708e-06,0.89408,5.0,6.331919204710948e-06
49,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,9308,384687.0,0.060414,2,6150,1,1,11263,11608,2217,9046,Vascular/heart problems diagnosed by doctor,"ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit.     ",Heart attack,106.0,5,6.3455e-06,-1.0181,2.412,0.0,6.4988e-06,0.67296,5.0,6.331919204710948e-06
50,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,267710,126423.0,0.023537,2,6152,1,100,330312,339584,173892,156420,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit.     ",None of the above,106.0,5,6.3433e-06,-1.1664,0.8778,3.7354e-06,1.1865e-05,0.1839,5.0,6.331919204710948e-06
51,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,26921,185712.0,0.037885,2,6153,1,1,33663,34613,33643,20,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","ACE touchscreen question ""Do you regularly take any of the following medications? (You can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit.     ",Cholesterol lowering medication,105.0,2,4.7032e-06,2.9318,1.9743,1.8573e-05,2.6923e-06,0.13755,5.0,6.331919204710948e-06
52,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,55157,335526.0,0.011597,2,6154,1,1,68210,69663,26157,42053,"Medication for pain relief, constipation, heartburn","ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     Some over the counter medicines are known by other names.  Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks):  Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin   Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra  Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen,   Solpaflex, Ibuleve  Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol,   Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve  Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra,   Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol,   Veganin, Feminax, Migraleve     ",Aspirin,105.0,4,5.1194e-06,0.34456,1.2449,9.065e-06,4.4706e-06,0.78196,5.0,6.331919204710948e-06
53,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,41662,137885.0,0.034554,2,6177,1,1,51335,52280,64,51271,"Medication for cholesterol, blood pressure or diabetes","ACE touchscreen question ""Do you regularly take any of the following medications? (you can select more than one answer)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -1 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit.     ",Cholesterol lowering medication,105.0,3,8.3545e-06,-1.3921,1.2283,0.0,1.0879e-05,0.25707,5.0,6.331919204710948e-06
54,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,357,394484.0,0.067833,2,ALS_custom,1,,422,428,178,244,,,,,5,6.3319e-06,-0.99904,13.355,0.0,6.3374e-06,0.94037,5.0,6.331919204710948e-06
