model;pk;GeneName;GeneID;EntryName;ProteinName
drug.Protein;P05164;MPO;ENSG00000005381;P05164;"Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain]"
drug.Protein;P30968;GNRHR;ENSG00000109163;P30968;Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)
drug.Protein;P48551;IFNAR2;ENSG00000159110;P48551;Interferon alpha/beta receptor 2 (IFN-R-2) (IFN-alpha binding protein) (IFN-alpha/beta receptor 2) (Interferon alpha binding protein) (Type I interferon receptor 2)
drug.Protein;P17181;IFNAR1;ENSG00000142166;P17181;Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)
drug.Protein;P05177;CYP1A2;ENSG00000140505;P05177;Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
drug.Protein;P00747;PLG;ENSG00000122194;P00747;"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]"
drug.Protein;P02671;FGA;ENSG00000171560;P02671;"Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]"
drug.Protein;Q03405;PLAUR;ENSG00000011422;Q03405;Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)
drug.Protein;P05121;SERPINE1;ENSG00000106366;P05121;Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)
drug.Protein;Q02643;GHRHR;ENSG00000106128;Q02643;Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR)
drug.Protein;P19235;EPOR;ENSG00000187266;P19235;Erythropoietin receptor (EPO-R)
drug.Protein;P05120;SERPINB2;ENSG00000197632;P05120;Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)
drug.Protein;P05154;SERPINA5;ENSG00000188488;P05154;Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)
drug.Protein;P98164;LRP2;ENSG00000081479;P98164;Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)
drug.Protein;Q9Y5Y6;ST14;ENSG00000149418;Q9Y5Y6;Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)
drug.Protein;P14543;NID1;ENSG00000116962;P14543;Nidogen-1 (NID-1) (Entactin)
drug.Protein;P39900;MMP12;ENSG00000262406;P39900;Macrophage metalloelastase (MME) (EC 3.4.24.65) (Macrophage elastase) (ME) (hME) (Matrix metalloproteinase-12) (MMP-12)
drug.Protein;P22888;LHCGR;ENSG00000138039;P22888;Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R)
drug.Protein;P30988;CALCR;ENSG00000004948;P30988;Calcitonin receptor (CT-R)
drug.Protein;Q99062;CSF3R;ENSG00000119535;Q99062;Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)
drug.Protein;P08246;ELANE;ENSG00000197561;P08246;Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)
drug.Protein;P15509;CSF2RA;ENSG00000198223;P15509;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)
drug.Protein;P26951;IL3RA;ENSG00000185291;P26951;Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123)
drug.Protein;P32927;CSF2RB;ENSG00000100368;P32927;Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131)
drug.Protein;P34741;SDC2;ENSG00000169439;P34741;Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362)
drug.Protein;P13727;PRG2;ENSG00000186652;P13727;Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP) (Pregnancy-associated major basic protein)]
drug.Protein;P10635;CYP2D6;ENSG00000100197;P10635;Cytochrome P450 2D6 (EC 1.14.14.-) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)
drug.Protein;P11712;CYP2C9;ENSG00000138109;P11712;Cytochrome P450 2C9 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC9) (Cholesterol 25-hydroxylase) (Cytochrome P-450MP) (Cytochrome P450 MP-4) (Cytochrome P450 MP-8) (Cytochrome P450 PB-1) (S-mephenytoin 4-hydroxylase)
drug.Protein;P05543;SERPINA7;ENSG00000123561;P05543;Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)
drug.Protein;P16473;TSHR;ENSG00000165409;P16473;Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)
drug.Protein;P00742;F10;ENSG00000126218;P00742;"Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]"
drug.Protein;P00740;F9;ENSG00000101981;P00740;"Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]"
drug.Protein;P04275;VWF;ENSG00000110799;P04275;von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]
drug.Protein;O14832;PHYH;ENSG00000107537;O14832;Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)
drug.Protein;P07307;ASGR2;ENSG00000161944;P07307;Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (C-type lectin domain family 4 member H2) (Hepatic lectin H2) (HL-2)
drug.Protein;P11021;HSPA5;ENSG00000044574;P11021;Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)
drug.Protein;P27797;CALR;ENSG00000179218;P27797;Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)
drug.Protein;P27824;CANX;ENSG00000127022;P27824;Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)
drug.Protein;P49257;LMAN1;ENSG00000074695;P49257;Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)
drug.Protein;Q07954;LRP1;ENSG00000123384;Q07954;"Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]"
drug.Protein;Q8NI22;MCFD2;ENSG00000180398;Q8NI22;Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)
drug.Protein;P04070;PROC;ENSG00000115718;P04070;"Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]"
drug.Protein;P14778;IL1R1;ENSG00000115594;P14778;"Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (EC 3.2.2.6) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]"
drug.Protein;P08183;ABCB1;ENSG00000085563;P08183;ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)
drug.Protein;Q92637;FCGR1BP;ENSG00000198019;Q92637;Putative high affinity immunoglobulin gamma Fc receptor IB (IgG Fc receptor IB) (Fc gamma receptor IB pseudogene) (Fc-gamma RIB) (FcRIB) (hFcgammaRIB)
drug.Protein;P01024;C3;ENSG00000125730;P01024;"Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]"
drug.Protein;P0C0L4;C4A;ENSG00000244731;P0C0L4;"Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]"
drug.Protein;P0C0L5;"C4B; C4B_2";ENSG00000224389;P0C0L5;"Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]"
drug.Protein;P01031;C5;ENSG00000106804;P01031;"Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]"
drug.Protein;P06213;INSR;ENSG00000171105;P06213;"Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]"
drug.Protein;P08069;IGF1R;ENSG00000140443;P08069;"Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]"
drug.Protein;P16870;CPE;ENSG00000109472;P16870;Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)
drug.Protein;P48745;CCN3;ENSG00000136999;P48745;CCN family member 3 (Cellular communication network factor 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephro blastoma-overexpressed gene protein homolog) (Protein NOV homolog) (NovH)
drug.Protein;Q16270;IGFBP7;ENSG00000163453;Q16270;Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF)
drug.Protein;P14735;IDE;ENSG00000119912;P14735;Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)
drug.Protein;P16519;PCSK2;ENSG00000125851;P16519;Neuroendocrine convertase 2 (NEC 2) (EC 3.4.21.94) (KEX2-like endoprotease 2) (Prohormone convertase 2) (Proprotein convertase 2) (PC2)
drug.Protein;P29120;PCSK1;ENSG00000175426;P29120;Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)
drug.Protein;P05452;CLEC3B;ENSG00000163815;P05452;Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)
drug.Protein;P05787;KRT8;ENSG00000170421;P05787;Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)
drug.Protein;P07355;ANXA2;ENSG00000182718;P07355;Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)
drug.Protein;P23945;FSHR;ENSG00000170820;P23945;Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)
drug.Protein;P15260;IFNGR1;ENSG00000027697;P15260;Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)
drug.Protein;P38484;IFNGR2;ENSG00000159128;P38484;Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1)
drug.Protein;P30518;AVPR2;ENSG00000126895;P30518;Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)
drug.Protein;P37288;AVPR1A;ENSG00000166148;P37288;Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)
drug.Protein;P47901;AVPR1B;ENSG00000198049;P47901;Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)
drug.Protein;P23219;PTGS1;ENSG00000095303;P23219;Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)
drug.Protein;P35354;PTGS2;ENSG00000073756;P35354;Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)
drug.Protein;P10646;TFPI;ENSG00000003436;P10646;Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)
drug.Protein;P38435;GGCX;ENSG00000115486;P38435;Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)
drug.Protein;P08709;F7;ENSG00000057593;P08709;"Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]"
drug.Protein;P13726;F3;ENSG00000117525;P13726;Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)
drug.Protein;Q14626;IL11RA;ENSG00000137070;Q14626;Interleukin-11 receptor subunit alpha (IL-11 receptor subunit alpha) (IL-11R subunit alpha) (IL-11R-alpha) (IL-11RA) [Cleaved into: Soluble interleukin-11 receptor subunit alpha (sIL-11R) (sIL-11RA) (sIL11RA)]
drug.Protein;P21802;FGFR2;ENSG00000066468;P21802;Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)
drug.Protein;P11362;FGFR1;ENSG00000077782;P11362;Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)
drug.Protein;P98160;HSPG2;ENSG00000142798;P98160;"Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]"
drug.Protein;P47871;GCGR;ENSG00000215644;P47871;Glucagon receptor (GL-R)
drug.Protein;O95838;GLP2R;ENSG00000065325;O95838;Glucagon-like peptide 2 receptor (GLP-2 receptor) (GLP-2-R) (GLP-2R)
drug.Protein;P43220;GLP1R;ENSG00000112164;P43220;Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R)
drug.Protein;P47712;PLA2G4A;ENSG00000116711;P47712;"Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]"
drug.Protein;P08684;CYP3A4;ENSG00000160868;P08684;Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)
drug.Protein;P47989;XDH;ENSG00000158125;P47989;"Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]"
drug.Protein;P05181;CYP2E1;ENSG00000130649;P05181;Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J)
drug.Protein;P63027;VAMP2;ENSG00000220205;P63027;Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)
drug.Protein;P23763;VAMP1;ENSG00000139190;P23763;Vesicle-associated membrane protein 1 (VAMP-1) (Synaptobrevin-1)
drug.Protein;Q8N9I0;SYT2;ENSG00000143858;Q8N9I0;Synaptotagmin-2 (Synaptotagmin II) (SytII)
drug.Protein;P12319;FCER1A;ENSG00000179639;P12319;High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)
drug.Protein;Q01362;MS4A2;ENSG00000149534;Q01362;High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)
drug.Protein;O60603;TLR2;ENSG00000137462;O60603;Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)
drug.Protein;P02452;COL1A1;ENSG00000108821;P02452;Collagen alpha-1(I) chain (Alpha-1 type I collagen)
drug.Protein;P02458;COL2A1;ENSG00000139219;P02458;"Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin]"
drug.Protein;P02461;COL3A1;ENSG00000168542;P02461;Collagen alpha-1(III) chain
drug.Protein;P10912;GHR;ENSG00000112964;P10912;Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]
drug.Protein;P16471;PRLR;ENSG00000113494;P16471;Prolactin receptor (PRL-R)
drug.Protein;P33261;CYP2C19;ENSG00000165841;P33261;Cytochrome P450 2C19 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC17) (CYPIIC19) (Cytochrome P450-11A) (Cytochrome P450-254C) (Fenbendazole monooxygenase (4'-hydroxylating)) (EC 1.14.14.75) (Mephenytoin 4-hydroxylase)
drug.Protein;P05106;ITGB3;ENSG00000259207;P05106;Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)
drug.Protein;P08514;ITGA2B;ENSG00000005961;P08514;"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]"
drug.Protein;P04004;VTN;ENSG00000109072;P04004;"Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]"
drug.Protein;P00451;F8;ENSG00000185010;P00451;"Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component) [Cleaved into: Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain]"
drug.Protein;P12259;F5;ENSG00000198734;P12259;"Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]"
drug.Protein;P07204;THBD;ENSG00000178726;P07204;Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)
drug.Protein;P07225;PROS1;ENSG00000184500;P07225;Vitamin K-dependent protein S
drug.Protein;P02776;PF4;ENSG00000163737;P02776;Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]
drug.Protein;P35237;SERPINB6;ENSG00000124570;P35237;Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)
drug.Protein;Q9UNN8;PROCR;ENSG00000101000;Q9UNN8;Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)
drug.Protein;P20138;CD33;ENSG00000105383;P20138;Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33)
drug.Protein;P62993;GRB2;ENSG00000177885;P62993;Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)
drug.Protein;P30559;OXTR;ENSG00000180914;P30559;Oxytocin receptor (OT-R)
drug.Protein;Q92887;ABCC2;ENSG00000023839;Q92887;ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)
drug.Protein;P01137;TGFB1;ENSG00000105329;P01137;"Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]"
drug.Protein;P02768;ALB;ENSG00000163631;P02768;Albumin
